subject,epoch,patch
shhs1-200001,263,12
shhs1-200001,263,13
shhs1-200001,263,14
shhs1-200001,264,0
shhs1-200001,264,1
shhs1-200001,264,2
shhs1-200001,264,3
shhs1-200001,264,4
shhs1-200001,264,5
shhs1-200001,264,6
shhs1-200001,264,7
shhs1-200001,264,8
shhs1-200001,264,9
shhs1-200001,264,10
shhs1-200001,264,11
shhs1-200001,264,12
shhs1-200001,264,13
shhs1-200001,264,14
shhs1-200001,265,0
shhs1-200001,265,1
shhs1-200001,265,2
shhs1-200001,265,3
shhs1-200001,265,4
shhs1-200001,265,5
shhs1-200001,265,6
shhs1-200001,265,7
shhs1-200001,265,8
shhs1-200001,265,9
shhs1-200001,265,10
shhs1-200001,265,11
shhs1-200001,265,12
shhs1-200001,265,13
shhs1-200001,265,14
shhs1-200001,266,0
shhs1-200001,266,1
shhs1-200001,266,2
shhs1-200001,266,3
shhs1-200001,266,4
shhs1-200001,266,5
shhs1-200001,266,6
shhs1-200001,266,7
shhs1-200001,266,8
shhs1-200001,266,9
shhs1-200001,266,10
shhs1-200001,266,11
shhs1-200001,266,12
shhs1-200001,266,13
shhs1-200001,266,14
shhs1-200001,267,0
shhs1-200001,267,1
shhs1-200001,267,2
shhs1-200001,267,3
shhs1-200001,267,4
shhs1-200001,267,5
shhs1-200001,267,6
shhs1-200001,267,7
shhs1-200001,267,8
shhs1-200001,267,9
shhs1-200001,267,10
shhs1-200001,267,11
shhs1-200001,267,12
shhs1-200001,267,13
shhs1-200001,267,14
shhs1-200001,268,0
shhs1-200001,268,1
shhs1-200001,268,2
shhs1-200001,268,3
shhs1-200001,268,4
shhs1-200001,268,5
shhs1-200001,268,6
shhs1-200001,268,7
shhs1-200001,268,8
shhs1-200001,268,9
shhs1-200001,268,10
shhs1-200001,268,11
shhs1-200001,268,12
shhs1-200001,268,13
shhs1-200001,268,14
shhs1-200001,271,0
shhs1-200001,271,1
shhs1-200001,271,2
shhs1-200001,271,3
shhs1-200001,271,4
shhs1-200001,271,5
shhs1-200001,271,6
shhs1-200001,271,7
shhs1-200001,271,8
shhs1-200001,271,9
shhs1-200001,271,10
shhs1-200001,271,11
shhs1-200001,271,12
shhs1-200001,271,13
shhs1-200001,271,14
shhs1-200001,272,0
shhs1-200001,272,1
shhs1-200001,272,2
shhs1-200001,272,3
shhs1-200001,272,4
shhs1-200001,272,5
shhs1-200001,272,6
shhs1-200001,272,7
shhs1-200001,272,8
shhs1-200001,272,9
shhs1-200001,272,10
shhs1-200001,272,11
shhs1-200001,272,12
shhs1-200001,272,13
shhs1-200001,272,14
shhs1-200001,283,0
shhs1-200001,283,1
shhs1-200001,283,2
shhs1-200001,283,3
shhs1-200001,283,4
shhs1-200001,283,5
shhs1-200001,283,6
shhs1-200001,283,7
shhs1-200001,283,8
shhs1-200001,283,9
shhs1-200001,283,10
shhs1-200001,283,11
shhs1-200001,283,12
shhs1-200001,283,13
shhs1-200001,283,14
shhs1-200001,461,0
shhs1-200001,461,1
shhs1-200001,461,2
shhs1-200001,461,3
shhs1-200001,461,4
shhs1-200001,461,5
shhs1-200001,461,6
shhs1-200001,461,7
shhs1-200001,461,8
shhs1-200001,461,9
shhs1-200001,461,10
shhs1-200001,461,11
shhs1-200001,461,12
shhs1-200001,461,13
shhs1-200001,461,14
shhs1-200001,462,0
shhs1-200001,462,1
shhs1-200001,462,2
shhs1-200001,462,3
shhs1-200001,462,4
shhs1-200001,462,5
shhs1-200001,462,6
shhs1-200001,462,7
shhs1-200001,462,8
shhs1-200001,462,9
shhs1-200001,462,10
shhs1-200001,462,11
shhs1-200001,462,12
shhs1-200001,462,13
shhs1-200001,462,14
shhs1-200001,463,0
shhs1-200001,463,1
shhs1-200001,463,2
shhs1-200001,463,3
shhs1-200001,463,4
shhs1-200001,463,5
shhs1-200001,463,6
shhs1-200001,463,7
shhs1-200001,463,8
shhs1-200001,463,9
shhs1-200001,463,10
shhs1-200001,463,11
shhs1-200001,463,12
shhs1-200001,463,13
shhs1-200001,463,14
shhs1-200001,464,0
shhs1-200001,464,1
shhs1-200001,464,2
shhs1-200001,464,3
shhs1-200001,464,4
shhs1-200001,464,5
shhs1-200001,464,6
shhs1-200001,464,7
shhs1-200001,464,8
shhs1-200001,464,9
shhs1-200001,464,10
shhs1-200001,464,11
shhs1-200001,464,12
shhs1-200001,464,13
shhs1-200001,464,14
shhs1-200001,465,0
shhs1-200001,465,1
shhs1-200001,465,2
shhs1-200001,465,3
shhs1-200001,465,4
shhs1-200001,465,5
shhs1-200001,465,6
shhs1-200001,465,7
shhs1-200001,465,8
shhs1-200001,465,9
shhs1-200001,465,10
shhs1-200001,465,11
shhs1-200001,465,12
shhs1-200001,465,13
shhs1-200001,465,14
shhs1-200001,466,0
shhs1-200001,466,1
shhs1-200001,466,2
shhs1-200001,466,3
shhs1-200001,466,4
shhs1-200001,466,5
shhs1-200001,466,6
shhs1-200001,466,7
shhs1-200001,466,8
shhs1-200001,466,9
shhs1-200001,466,10
shhs1-200001,466,11
shhs1-200001,466,12
shhs1-200001,466,13
shhs1-200001,466,14
shhs1-200001,467,0
shhs1-200001,467,1
shhs1-200001,467,2
shhs1-200001,467,3
shhs1-200001,467,4
shhs1-200001,467,5
shhs1-200001,467,6
shhs1-200001,467,7
shhs1-200001,467,8
shhs1-200001,467,9
shhs1-200001,467,10
shhs1-200001,467,11
shhs1-200001,467,12
shhs1-200001,467,13
shhs1-200001,467,14
shhs1-200001,468,0
shhs1-200001,468,1
shhs1-200001,468,2
shhs1-200001,468,3
shhs1-200001,468,4
shhs1-200001,468,5
shhs1-200001,468,6
shhs1-200001,468,7
shhs1-200001,468,8
shhs1-200001,468,9
shhs1-200001,468,10
shhs1-200001,468,11
shhs1-200001,468,12
shhs1-200001,468,13
shhs1-200001,468,14
shhs1-200001,469,0
shhs1-200001,469,1
shhs1-200001,469,2
shhs1-200001,469,3
shhs1-200001,469,4
shhs1-200001,469,5
shhs1-200001,469,6
shhs1-200001,469,7
shhs1-200001,469,8
shhs1-200001,469,9
shhs1-200001,469,10
shhs1-200001,469,11
shhs1-200001,469,12
shhs1-200001,469,13
shhs1-200001,469,14
shhs1-200001,470,0
shhs1-200001,470,1
shhs1-200001,470,2
shhs1-200001,470,3
shhs1-200001,470,4
shhs1-200001,470,5
shhs1-200001,470,6
shhs1-200001,470,7
shhs1-200001,470,8
shhs1-200001,470,9
shhs1-200001,470,10
shhs1-200001,470,11
shhs1-200001,470,12
shhs1-200001,470,13
shhs1-200001,470,14
shhs1-200001,471,0
shhs1-200001,471,1
shhs1-200001,471,2
shhs1-200001,471,3
shhs1-200001,471,4
shhs1-200001,471,5
shhs1-200001,471,6
shhs1-200001,471,7
shhs1-200001,471,8
shhs1-200001,471,9
shhs1-200001,471,10
shhs1-200001,471,11
shhs1-200001,471,12
shhs1-200001,471,13
shhs1-200001,471,14
shhs1-200001,472,0
shhs1-200001,472,1
shhs1-200001,472,2
shhs1-200001,472,3
shhs1-200001,472,4
shhs1-200001,472,5
shhs1-200001,472,6
shhs1-200001,472,7
shhs1-200001,472,8
shhs1-200001,472,9
shhs1-200001,472,10
shhs1-200001,472,11
shhs1-200001,472,12
shhs1-200001,472,13
shhs1-200001,472,14
shhs1-200001,473,0
shhs1-200001,473,1
shhs1-200001,473,2
shhs1-200001,473,3
shhs1-200001,473,4
shhs1-200001,473,5
shhs1-200001,473,6
shhs1-200001,473,7
shhs1-200001,473,8
shhs1-200001,473,9
shhs1-200001,473,10
shhs1-200001,473,11
shhs1-200001,473,12
shhs1-200001,473,13
shhs1-200001,473,14
shhs1-200001,474,0
shhs1-200001,474,1
shhs1-200001,474,2
shhs1-200001,474,3
shhs1-200001,474,4
shhs1-200001,474,5
shhs1-200001,474,6
shhs1-200001,474,7
shhs1-200001,474,8
shhs1-200001,474,9
shhs1-200001,474,10
shhs1-200001,474,11
shhs1-200001,474,12
shhs1-200001,474,13
shhs1-200001,474,14
shhs1-200001,475,0
shhs1-200001,475,1
shhs1-200001,475,2
shhs1-200001,475,3
shhs1-200001,475,4
shhs1-200001,475,5
shhs1-200001,475,6
shhs1-200001,475,7
shhs1-200001,475,8
shhs1-200001,475,9
shhs1-200001,475,10
shhs1-200001,475,11
shhs1-200001,475,12
shhs1-200001,475,13
shhs1-200001,475,14
shhs1-200001,476,0
shhs1-200001,476,1
shhs1-200001,476,2
shhs1-200001,476,3
shhs1-200001,476,4
shhs1-200001,476,5
shhs1-200001,476,6
shhs1-200001,476,7
shhs1-200001,476,8
shhs1-200001,476,9
shhs1-200001,476,10
shhs1-200001,476,11
shhs1-200001,476,12
shhs1-200001,476,13
shhs1-200001,476,14
shhs1-200001,477,0
shhs1-200001,477,1
shhs1-200001,477,2
shhs1-200001,477,3
shhs1-200001,477,4
shhs1-200001,477,5
shhs1-200001,477,6
shhs1-200001,477,7
shhs1-200001,477,8
shhs1-200001,477,9
shhs1-200001,477,10
shhs1-200001,477,11
shhs1-200001,477,12
shhs1-200001,477,13
shhs1-200001,477,14
shhs1-200001,478,0
shhs1-200001,478,1
shhs1-200001,478,2
shhs1-200001,478,3
shhs1-200001,478,4
shhs1-200001,478,5
shhs1-200001,478,6
shhs1-200001,478,7
shhs1-200001,478,8
shhs1-200001,478,9
shhs1-200001,478,10
shhs1-200001,478,11
shhs1-200001,478,12
shhs1-200001,478,13
shhs1-200001,478,14
shhs1-200001,479,0
shhs1-200001,479,1
shhs1-200001,479,2
shhs1-200001,479,3
shhs1-200001,479,4
shhs1-200001,479,5
shhs1-200001,479,6
shhs1-200001,479,7
shhs1-200001,479,8
shhs1-200001,479,9
shhs1-200001,479,10
shhs1-200001,479,11
shhs1-200001,479,12
shhs1-200001,479,13
shhs1-200001,479,14
shhs1-200001,480,0
shhs1-200001,480,1
shhs1-200001,480,2
shhs1-200001,480,3
shhs1-200001,480,4
shhs1-200001,480,5
shhs1-200001,480,6
shhs1-200001,480,7
shhs1-200001,480,8
shhs1-200001,480,9
shhs1-200001,480,10
shhs1-200001,480,11
shhs1-200001,480,12
shhs1-200001,480,13
shhs1-200001,480,14
shhs1-200001,481,0
shhs1-200001,481,1
shhs1-200001,481,2
shhs1-200001,481,3
shhs1-200001,481,4
shhs1-200001,481,5
shhs1-200001,481,6
shhs1-200001,481,7
shhs1-200001,481,8
shhs1-200001,481,9
shhs1-200001,481,10
shhs1-200001,481,11
shhs1-200001,481,12
shhs1-200001,481,13
shhs1-200001,481,14
shhs1-200001,482,0
shhs1-200001,482,1
shhs1-200001,482,2
shhs1-200001,482,3
shhs1-200001,482,4
shhs1-200001,482,5
shhs1-200001,482,6
shhs1-200001,482,7
shhs1-200001,482,8
shhs1-200001,482,9
shhs1-200001,482,10
shhs1-200001,482,11
shhs1-200001,482,12
shhs1-200001,482,13
shhs1-200001,482,14
shhs1-200001,483,0
shhs1-200001,483,1
shhs1-200001,483,2
shhs1-200001,483,3
shhs1-200001,483,4
shhs1-200001,483,5
shhs1-200001,483,6
shhs1-200001,483,7
shhs1-200001,483,8
shhs1-200001,483,9
shhs1-200001,483,10
shhs1-200001,483,11
shhs1-200001,483,12
shhs1-200001,483,13
shhs1-200001,483,14
shhs1-200001,484,0
shhs1-200001,484,1
shhs1-200001,484,2
shhs1-200001,484,3
shhs1-200001,484,4
shhs1-200001,484,5
shhs1-200001,484,6
shhs1-200001,484,7
shhs1-200001,484,8
shhs1-200001,484,9
shhs1-200001,484,10
shhs1-200001,484,11
shhs1-200001,484,12
shhs1-200001,484,13
shhs1-200001,484,14
shhs1-200001,485,0
shhs1-200001,485,1
shhs1-200001,485,2
shhs1-200001,485,3
shhs1-200001,485,4
shhs1-200001,485,5
shhs1-200001,485,6
shhs1-200001,485,7
shhs1-200001,485,8
shhs1-200001,485,9
shhs1-200001,485,10
shhs1-200001,485,11
shhs1-200001,485,12
shhs1-200001,485,13
shhs1-200001,485,14
shhs1-200001,486,0
shhs1-200001,486,1
shhs1-200001,486,2
shhs1-200001,486,3
shhs1-200001,486,4
shhs1-200001,486,5
shhs1-200001,486,6
shhs1-200001,486,7
shhs1-200001,486,8
shhs1-200001,486,9
shhs1-200001,486,10
shhs1-200001,486,11
shhs1-200001,486,12
shhs1-200001,486,13
shhs1-200001,486,14
shhs1-200001,487,0
shhs1-200001,487,1
shhs1-200001,487,2
shhs1-200001,487,3
shhs1-200001,487,4
shhs1-200001,487,5
shhs1-200001,487,6
shhs1-200001,487,7
shhs1-200001,487,8
shhs1-200001,487,9
shhs1-200001,487,10
shhs1-200001,487,11
shhs1-200001,487,12
shhs1-200001,487,13
shhs1-200001,487,14
shhs1-200001,488,0
shhs1-200001,488,1
shhs1-200001,488,2
shhs1-200001,488,3
shhs1-200001,488,4
shhs1-200001,488,5
shhs1-200001,488,6
shhs1-200001,488,7
shhs1-200001,488,8
shhs1-200001,488,9
shhs1-200001,488,10
shhs1-200001,488,11
shhs1-200001,488,12
shhs1-200001,488,13
shhs1-200001,488,14
shhs1-200001,489,0
shhs1-200001,489,1
shhs1-200001,489,2
shhs1-200001,489,3
shhs1-200001,489,4
shhs1-200001,489,5
shhs1-200001,489,6
shhs1-200001,489,7
shhs1-200001,489,8
shhs1-200001,489,9
shhs1-200001,489,10
shhs1-200001,489,11
shhs1-200001,489,12
shhs1-200001,489,13
shhs1-200001,489,14
shhs1-200001,490,0
shhs1-200001,490,1
shhs1-200001,490,2
shhs1-200001,490,3
shhs1-200001,490,4
shhs1-200001,490,5
shhs1-200001,490,6
shhs1-200001,490,7
shhs1-200001,490,8
shhs1-200001,490,9
shhs1-200001,490,10
shhs1-200001,490,11
shhs1-200001,490,12
shhs1-200001,490,13
shhs1-200001,490,14
shhs1-200001,491,0
shhs1-200001,491,1
shhs1-200001,491,2
shhs1-200001,491,3
shhs1-200001,491,4
shhs1-200001,491,5
shhs1-200001,491,6
shhs1-200001,491,7
shhs1-200001,491,8
shhs1-200001,491,9
shhs1-200001,491,10
shhs1-200001,491,11
shhs1-200001,491,12
shhs1-200001,491,13
shhs1-200001,491,14
shhs1-200001,492,0
shhs1-200001,492,1
shhs1-200001,492,2
shhs1-200001,492,3
shhs1-200001,492,4
shhs1-200001,492,5
shhs1-200001,492,6
shhs1-200001,492,7
shhs1-200001,492,8
shhs1-200001,492,9
shhs1-200001,492,10
shhs1-200001,492,11
shhs1-200001,492,12
shhs1-200001,492,13
shhs1-200001,492,14
shhs1-200001,493,0
shhs1-200001,493,1
shhs1-200001,493,2
shhs1-200001,493,3
shhs1-200001,493,4
shhs1-200001,493,5
shhs1-200001,493,6
shhs1-200001,493,7
shhs1-200001,493,8
shhs1-200001,493,9
shhs1-200001,493,10
shhs1-200001,493,11
shhs1-200001,493,12
shhs1-200001,493,13
shhs1-200001,493,14
shhs1-200001,689,0
shhs1-200001,689,1
shhs1-200001,689,2
shhs1-200001,689,3
shhs1-200001,689,4
shhs1-200001,689,5
shhs1-200001,689,6
shhs1-200001,689,7
shhs1-200001,689,8
shhs1-200001,689,9
shhs1-200001,689,10
shhs1-200001,689,11
shhs1-200001,689,12
shhs1-200001,689,13
shhs1-200001,689,14
shhs1-200001,690,0
shhs1-200001,690,1
shhs1-200001,690,2
shhs1-200001,690,3
shhs1-200001,690,4
shhs1-200001,690,5
shhs1-200001,690,6
shhs1-200001,690,7
shhs1-200001,690,8
shhs1-200001,690,9
shhs1-200001,690,10
shhs1-200001,690,11
shhs1-200001,690,12
shhs1-200001,690,13
shhs1-200001,690,14
shhs1-200001,691,0
shhs1-200001,691,1
shhs1-200001,691,2
shhs1-200001,691,3
shhs1-200001,691,4
shhs1-200001,691,5
shhs1-200001,691,6
shhs1-200001,691,7
shhs1-200001,691,8
shhs1-200001,691,9
shhs1-200001,691,10
shhs1-200001,691,11
shhs1-200001,691,12
shhs1-200001,691,13
shhs1-200001,691,14
shhs1-200001,692,0
shhs1-200001,692,1
shhs1-200001,692,2
shhs1-200001,692,3
shhs1-200001,692,4
shhs1-200001,692,5
shhs1-200001,692,6
shhs1-200001,692,7
shhs1-200001,692,8
shhs1-200001,692,9
shhs1-200001,692,10
shhs1-200001,692,11
shhs1-200001,692,12
shhs1-200001,692,13
shhs1-200001,692,14
shhs1-200001,693,0
shhs1-200001,693,1
shhs1-200001,693,2
shhs1-200001,693,3
shhs1-200001,693,4
shhs1-200001,693,5
shhs1-200001,693,6
shhs1-200001,693,7
shhs1-200001,693,8
shhs1-200001,693,9
shhs1-200001,693,10
shhs1-200001,693,11
shhs1-200001,693,12
shhs1-200001,693,13
shhs1-200001,693,14
shhs1-200001,694,0
shhs1-200001,694,1
shhs1-200001,694,2
shhs1-200001,694,3
shhs1-200001,694,4
shhs1-200001,694,5
shhs1-200001,694,6
shhs1-200001,694,7
shhs1-200001,694,8
shhs1-200001,694,9
shhs1-200001,694,10
shhs1-200001,694,11
shhs1-200001,694,12
shhs1-200001,694,13
shhs1-200001,694,14
shhs1-200001,695,0
shhs1-200001,695,1
shhs1-200001,695,2
shhs1-200001,695,3
shhs1-200001,695,4
shhs1-200001,695,5
shhs1-200001,695,6
shhs1-200001,695,7
shhs1-200001,695,8
shhs1-200001,695,9
shhs1-200001,695,10
shhs1-200001,695,11
shhs1-200001,695,12
shhs1-200001,695,13
shhs1-200001,695,14
shhs1-200001,696,0
shhs1-200001,696,1
shhs1-200001,696,2
shhs1-200001,696,3
shhs1-200001,696,4
shhs1-200001,696,5
shhs1-200001,696,6
shhs1-200001,696,7
shhs1-200001,696,8
shhs1-200001,696,9
shhs1-200001,696,10
shhs1-200001,696,11
shhs1-200001,696,12
shhs1-200001,696,13
shhs1-200001,696,14
shhs1-200001,697,0
shhs1-200001,697,1
shhs1-200001,697,2
shhs1-200001,697,3
shhs1-200001,697,4
shhs1-200001,697,5
shhs1-200001,697,6
shhs1-200001,697,7
shhs1-200001,697,8
shhs1-200001,697,9
shhs1-200001,697,10
shhs1-200001,697,11
shhs1-200001,697,12
shhs1-200001,697,13
shhs1-200001,697,14
shhs1-200001,698,0
shhs1-200001,698,1
shhs1-200001,698,2
shhs1-200001,698,3
shhs1-200001,698,4
shhs1-200001,698,5
shhs1-200001,698,6
shhs1-200001,698,7
shhs1-200001,698,8
shhs1-200001,698,9
shhs1-200001,698,10
shhs1-200001,698,11
shhs1-200001,698,12
shhs1-200001,698,13
shhs1-200001,698,14
shhs1-200001,699,0
shhs1-200001,699,1
shhs1-200001,699,2
shhs1-200001,699,3
shhs1-200001,699,4
shhs1-200001,699,5
shhs1-200001,699,6
shhs1-200001,699,7
shhs1-200001,699,8
shhs1-200001,699,9
shhs1-200001,699,10
shhs1-200001,699,11
shhs1-200001,699,12
shhs1-200001,699,13
shhs1-200001,699,14
shhs1-200001,700,0
shhs1-200001,700,1
shhs1-200001,700,2
shhs1-200001,700,3
shhs1-200001,700,4
shhs1-200001,700,5
shhs1-200001,700,6
shhs1-200001,700,7
shhs1-200001,700,8
shhs1-200001,700,9
shhs1-200001,700,10
shhs1-200001,700,11
shhs1-200001,700,12
shhs1-200001,700,13
shhs1-200001,700,14
shhs1-200001,701,0
shhs1-200001,701,1
shhs1-200001,701,2
shhs1-200001,701,3
shhs1-200001,701,4
shhs1-200001,701,5
shhs1-200001,701,6
shhs1-200001,701,7
shhs1-200001,701,8
shhs1-200001,701,9
shhs1-200001,701,10
shhs1-200001,701,11
shhs1-200001,701,12
shhs1-200001,701,13
shhs1-200001,701,14
shhs1-200001,702,0
shhs1-200001,702,1
shhs1-200001,702,2
shhs1-200001,702,3
shhs1-200001,702,4
shhs1-200001,702,5
shhs1-200001,702,6
shhs1-200001,702,7
shhs1-200001,702,8
shhs1-200001,702,9
shhs1-200001,702,10
shhs1-200001,702,11
shhs1-200001,702,12
shhs1-200001,702,13
shhs1-200001,702,14
shhs1-200001,703,0
shhs1-200001,703,1
shhs1-200001,703,2
shhs1-200001,703,3
shhs1-200001,703,4
shhs1-200001,703,5
shhs1-200001,703,6
shhs1-200001,703,7
shhs1-200001,703,8
shhs1-200001,703,9
shhs1-200001,703,10
shhs1-200001,703,11
shhs1-200001,703,12
shhs1-200001,703,13
shhs1-200001,703,14
shhs1-200001,704,0
shhs1-200001,704,1
shhs1-200001,704,2
shhs1-200001,704,3
shhs1-200001,704,4
shhs1-200001,704,5
shhs1-200001,704,6
shhs1-200001,704,7
shhs1-200001,704,8
shhs1-200001,704,9
shhs1-200001,704,10
shhs1-200001,704,11
shhs1-200001,704,12
shhs1-200001,704,13
shhs1-200001,704,14
shhs1-200001,705,0
shhs1-200001,705,1
shhs1-200001,705,2
shhs1-200001,705,3
shhs1-200001,705,4
shhs1-200001,705,5
shhs1-200001,705,6
shhs1-200001,705,7
shhs1-200001,705,8
shhs1-200001,705,9
shhs1-200001,705,10
shhs1-200001,705,11
shhs1-200001,705,12
shhs1-200001,705,13
shhs1-200001,705,14
shhs1-200001,706,0
shhs1-200001,706,1
shhs1-200001,706,2
shhs1-200001,706,3
shhs1-200001,706,4
shhs1-200001,706,5
shhs1-200001,706,6
shhs1-200001,706,7
shhs1-200001,706,8
shhs1-200001,706,9
shhs1-200001,706,10
shhs1-200001,706,11
shhs1-200001,706,12
shhs1-200001,706,13
shhs1-200001,706,14
shhs1-200001,707,0
shhs1-200001,707,1
shhs1-200001,707,2
shhs1-200001,707,3
shhs1-200001,707,4
shhs1-200001,707,5
shhs1-200001,707,6
shhs1-200001,707,7
shhs1-200001,707,8
shhs1-200001,707,9
shhs1-200001,707,10
shhs1-200001,707,11
shhs1-200001,707,12
shhs1-200001,707,13
shhs1-200001,707,14
shhs1-200001,708,0
shhs1-200001,708,1
shhs1-200001,708,2
shhs1-200001,708,3
shhs1-200001,708,4
shhs1-200001,708,5
shhs1-200001,708,6
shhs1-200001,708,7
shhs1-200001,708,8
shhs1-200001,708,9
shhs1-200001,708,10
shhs1-200001,708,11
shhs1-200001,708,12
shhs1-200001,708,13
shhs1-200001,708,14
shhs1-200001,709,0
shhs1-200001,709,1
shhs1-200001,709,2
shhs1-200001,709,3
shhs1-200001,709,4
shhs1-200001,709,5
shhs1-200001,709,6
shhs1-200001,709,7
shhs1-200001,709,8
shhs1-200001,709,9
shhs1-200001,709,10
shhs1-200001,709,11
shhs1-200001,709,12
shhs1-200001,709,13
shhs1-200001,709,14
shhs1-200001,710,0
shhs1-200001,710,1
shhs1-200001,710,2
shhs1-200001,710,3
shhs1-200001,710,4
shhs1-200001,710,5
shhs1-200001,710,6
shhs1-200001,710,7
shhs1-200001,710,8
shhs1-200001,710,9
shhs1-200001,710,10
shhs1-200001,710,11
shhs1-200001,710,12
shhs1-200001,710,13
shhs1-200001,710,14
shhs1-200001,711,0
shhs1-200001,711,1
shhs1-200001,711,2
shhs1-200001,711,3
shhs1-200001,711,4
shhs1-200001,711,5
shhs1-200001,711,6
shhs1-200001,711,7
shhs1-200001,711,8
shhs1-200001,711,9
shhs1-200001,711,10
shhs1-200001,711,11
shhs1-200001,711,12
shhs1-200001,711,13
shhs1-200001,711,14
shhs1-200001,712,0
shhs1-200001,712,1
shhs1-200001,712,2
shhs1-200001,712,3
shhs1-200001,712,4
shhs1-200001,712,5
shhs1-200001,712,6
shhs1-200001,712,7
shhs1-200001,712,8
shhs1-200001,712,9
shhs1-200001,712,10
shhs1-200001,712,11
shhs1-200001,712,12
shhs1-200001,712,13
shhs1-200001,712,14
shhs1-200001,713,0
shhs1-200001,713,1
shhs1-200001,713,2
shhs1-200001,713,3
shhs1-200001,713,4
shhs1-200001,713,5
shhs1-200001,713,6
shhs1-200001,713,7
shhs1-200001,713,8
shhs1-200001,713,9
shhs1-200001,713,10
shhs1-200001,713,11
shhs1-200001,713,12
shhs1-200001,713,13
shhs1-200001,713,14
shhs1-200001,850,0
shhs1-200001,850,1
shhs1-200001,850,2
shhs1-200001,850,3
shhs1-200001,850,4
shhs1-200001,850,5
shhs1-200001,850,6
shhs1-200001,850,7
shhs1-200001,850,8
shhs1-200001,850,9
shhs1-200001,850,10
shhs1-200001,850,11
shhs1-200001,850,12
shhs1-200001,850,13
shhs1-200001,850,14
shhs1-200001,851,0
shhs1-200001,851,1
shhs1-200001,851,2
shhs1-200001,851,3
shhs1-200001,851,4
shhs1-200001,851,5
shhs1-200001,851,6
shhs1-200001,851,7
shhs1-200001,851,8
shhs1-200001,851,9
shhs1-200001,851,10
shhs1-200001,851,11
shhs1-200001,851,12
shhs1-200001,851,13
shhs1-200001,851,14
shhs1-200001,852,0
shhs1-200001,852,1
shhs1-200001,852,2
shhs1-200001,852,3
shhs1-200001,852,4
shhs1-200001,852,5
shhs1-200001,852,6
shhs1-200001,852,7
shhs1-200001,852,8
shhs1-200001,852,9
shhs1-200001,852,10
shhs1-200001,852,11
shhs1-200001,852,12
shhs1-200001,852,13
shhs1-200001,852,14
shhs1-200001,853,0
shhs1-200001,853,1
shhs1-200001,853,2
shhs1-200001,853,3
shhs1-200001,853,4
shhs1-200001,853,5
shhs1-200001,853,6
shhs1-200001,853,7
shhs1-200001,853,8
shhs1-200001,853,9
